1	2.80000000e-07	8.00000000e-01
2	2.80000000e-07	6.55745860e-01
3	2.80000000e-07	5.41219231e-01
4	2.80000000e-07	4.50293944e-01
5	2.80000000e-07	3.78106299e-01
6	2.80000000e-07	3.20794892e-01
7	2.80000000e-07	2.75294068e-01
8	2.80000000e-07	2.39169932e-01
9	2.80000000e-07	2.10490162e-01
10	2.80000000e-07	1.87720643e-01
11	2.80000000e-07	1.69643406e-01
12	2.80000000e-07	1.55291478e-01
13	2.80000000e-07	1.43897157e-01
14	2.80000000e-07	1.34850948e-01
15	2.80000000e-08	8.00000000e-01
16	2.80000000e-08	7.85053955e-01
17	2.80000000e-08	7.70427030e-01
18	2.80000000e-08	7.56112412e-01
19	2.80000000e-08	7.42103432e-01
20	2.80000000e-08	7.28393565e-01
21	2.80000000e-08	7.14976424e-01
22	2.80000000e-08	7.01845759e-01
23	2.80000000e-08	6.88995453e-01
24	2.80000000e-08	6.76419521e-01
25	2.80000000e-08	6.64112104e-01
26	2.80000000e-08	6.52067468e-01
27	2.80000000e-08	6.40280003e-01
28	2.80000000e-08	6.28744218e-01
29	2.80000000e-08	6.17454740e-01
30	2.80000000e-08	6.06406308e-01
31	2.80000000e-08	5.95593777e-01
32	2.80000000e-08	5.85012110e-01
33	2.80000000e-08	5.74656377e-01
34	2.80000000e-08	5.64521755e-01
35	2.80000000e-08	5.54603522e-01
36	2.80000000e-08	5.44897058e-01
37	2.80000000e-08	5.35397841e-01
38	2.80000000e-08	5.26101447e-01
39	2.80000000e-08	5.17003545e-01
40	2.80000000e-08	5.08099897e-01
41	2.80000000e-08	4.99386355e-01
42	2.80000000e-08	4.90858860e-01
43	2.80000000e-08	4.82513439e-01
44	2.80000000e-08	4.74346206e-01
45	2.80000000e-08	4.66353356e-01
46	2.80000000e-08	4.58531165e-01
47	2.80000000e-08	4.50875989e-01
48	2.80000000e-08	4.43384263e-01
49	2.80000000e-08	4.36052496e-01
50	2.80000000e-08	4.28877273e-01
51	2.80000000e-08	4.21855252e-01
52	2.80000000e-08	4.14983162e-01
53	2.80000000e-08	4.08257801e-01
54	2.80000000e-08	4.01676037e-01
55	2.80000000e-08	3.95234803e-01
56	2.80000000e-08	3.88931099e-01
57	2.80000000e-08	3.82761989e-01
58	2.80000000e-08	3.76724598e-01
59	2.80000000e-08	3.70816115e-01
60	2.80000000e-08	3.65033786e-01
61	2.80000000e-08	3.59374919e-01
62	2.80000000e-08	3.53836877e-01
63	2.80000000e-08	3.48417081e-01
64	2.80000000e-08	3.43113005e-01
65	2.80000000e-08	3.37922180e-01
66	2.80000000e-08	3.32842186e-01
67	2.80000000e-08	3.27870658e-01
68	2.80000000e-08	3.23005279e-01
69	2.80000000e-08	3.18243783e-01
70	2.80000000e-08	3.13583952e-01
71	2.80000000e-08	3.09023616e-01
72	2.80000000e-08	3.04560650e-01
73	2.80000000e-08	3.00192975e-01
74	2.80000000e-08	2.95918556e-01
75	2.80000000e-08	2.91735402e-01
76	2.80000000e-08	2.87641565e-01
77	2.80000000e-08	2.83635137e-01
78	2.80000000e-08	2.79714253e-01
79	2.80000000e-08	2.75877085e-01
80	2.80000000e-08	2.72121847e-01
81	2.80000000e-08	2.68446788e-01
82	2.80000000e-08	2.64850198e-01
83	2.80000000e-08	2.61330400e-01
