bounds,percentages,inner_cmf,outer_cmf
0.5,0.1,0.8470000000000003,0.29700000000000004
0.5,0.15,1.1055000000000004,0.2805
0.5,0.2,1.3640000000000008,0.264
0.5,0.25,1.6225000000000007,0.24750000000000003
0.5,0.3,1.8810000000000007,0.23100000000000004
0.6,0.1,0.46768965517241384,0.29700000000000004
0.6,0.15,0.5365344827586207,0.2805
0.6,0.2,0.6053793103448276,0.264
0.6,0.25,0.6742241379310345,0.24750000000000003
0.6,0.3,0.7430689655172413,0.23100000000000004
0.7,0.1,0.3823448275862069,0.297
0.7,0.15,0.40851724137931034,0.2805
0.7,0.2,0.4346896551724138,0.264
0.7,0.25,0.46086206896551724,0.24750000000000005
0.7,0.3,0.48703448275862066,0.231
0.8,0.1,0.3513956043956044,0.29700000000000004
0.8,0.15,0.3620934065934066,0.2805
0.8,0.2,0.3727912087912088,0.26400000000000007
0.8,0.25,0.383489010989011,0.24750000000000003
0.8,0.3,0.3941868131868132,0.23100000000000004
